Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;SMILES;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type
CHEMBL583687;;None;397.43;0;2.61;15;Cc1ccccc1C(=O)O[C@@H]1CO[C@H]2[C@@H]1OC[C@@H]2OC(=O)NCc1ccccc1;IC50;'=';1.2;nM;8.92;;;UO_0000065;22.45;0.42;6.31;10.74;0;CHEMBL1040051;Inhibition of BuChE in human liver microsomes;B;BAO_0000251;microsome format;Homo sapiens;CHEMBL3559723;Liver;None;Microsome;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1156822;1;Scientific Literature;J Med Chem;2010;None;;
CHEMBL570549;;None;365.38;0;1.56;20;CCN(CC)C(=O)O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC(=O)c1ccccc1O;IC50;'=';2609.0;nM;5.58;;;UO_0000065;15.28;0.29;4.02;5.91;0;CHEMBL1040051;Inhibition of BuChE in human liver microsomes;B;BAO_0000251;microsome format;Homo sapiens;CHEMBL3559723;Liver;None;Microsome;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1156822;1;Scientific Literature;J Med Chem;2010;None;;
CHEMBL511948;;None;469.63;1;7.76;2;CC(=O)c1c(-c2ccc(OCCCCCCCN(C)Cc3ccccc3)cc2)oc2ccccc12;IC50;'=';1830.0;nM;5.74;;;UO_0000065;12.22;0.22;-2.02;13.44;0;CHEMBL956646;Inhibition of human serum BuchE after 20 mins by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1150277;1;Scientific Literature;J Med Chem;2008;None;;
CHEMBL3216886;;None;600.63;2;6.09;14b;COc1cc2c(cc1OC)C(=O)C(CC1CCN(CCCNc3c4c(nc5ccccc35)CCCC4)CC1)C2.Cl.Cl;IC50;'=';12.3;nM;7.91;;;UO_0000065;14.99;0.28;1.82;12.42;0;CHEMBL960590;Inhibition of human serum BChE by Ellman's assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1150773;1;Scientific Literature;J Med Chem;2008;None;;
CHEMBL484306;;None;515.70;2;6.14;4;COc1cc2c(cc1OC)C(=O)C(CNCCCCCCCNc1c3c(nc4ccccc14)CCCC3)C2;IC50;'=';0.6;nM;9.22;;;UO_0000065;17.88;0.33;3.08;12.72;0;CHEMBL960590;Inhibition of human serum BChE by Ellman's assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1150773;1;Scientific Literature;J Med Chem;2008;None;;
CHEMBL325338;;None;264.37;0;4.20;20;CCC1=CC2Cc3nc4ccccc4c(N)c3C(C1)C2;IC50;'=';109.0;nM;6.96;;;UO_0000065;26.34;0.48;2.76;17.89;0;CHEMBL654411;Inhibition of butyrylcholinesterase (BChE) activity in human serum;B;BAO_0000366;cell-free format;None;CHEMBL3638229;Serum;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1132351;1;Scientific Literature;J Med Chem;1999;None;;
CHEMBL542467;;None;567.13;2;6.91;12d;CNC(=O)Oc1cccc(CN(C)CCCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1.Cl;IC50;'=';48.3;nM;7.32;;;UO_0000065;13.79;0.26;0.41;9.03;0;CHEMBL651305;In vitro inhibition of human serum Butyrylcholinesterase.;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1134674;1;Scientific Literature;J Med Chem;2001;None;;
CHEMBL40302;;None;417.36;0;3.13;14;Cc1cccc2c1OP(=O)(OCC1CCC(n3cnc4c(N)ncnc43)O1)OC2;IC50;'=';910.0;nM;6.04;;;UO_0000065;14.47;0.28;2.91;4.89;0;CHEMBL654407;Inhibitory activity towards human butyrylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1148460;1;Scientific Literature;J Med Chem;2004;None;;
CHEMBL2112393;;None;579.34;1;3.94;48 (R);O=C1NC(=O)N([C@H]2C[C@H](O)[C@@H](COP3(=O)OCc4cccc(-c5ccccc5)c4O3)O2)C[C@H]1/C=C/Br;IC50;'>';50000.0;nM;;;;UO_0000065;;;;;0;CHEMBL654407;Inhibitory activity towards human butyrylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1148460;1;Scientific Literature;J Med Chem;2004;None;;
CHEMBL170946;;None;393.53;0;4.67;3b;COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cccc(C)c3)CC1)C2;IC50;'=';28100.0;nM;4.55;;;UO_0000065;11.57;0.21;-0.12;11.74;0;CHEMBL3870532;Inhibition of human serum BuChE using s-butyrylthiocholine iodide as substrate preincubated for 5 mins followed by substrate addition measured up to 3 mins by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3870312;1;Scientific Literature;Eur J Med Chem;2016;None;;
CHEMBL3889625;;None;430.55;0;4.91;7a;COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc4ccccc4n3)CC1)C2;IC50;'=';6350.0;nM;5.20;;;UO_0000065;12.07;0.22;0.29;10.06;0;CHEMBL3870532;Inhibition of human serum BuChE using s-butyrylthiocholine iodide as substrate preincubated for 5 mins followed by substrate addition measured up to 3 mins by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3870312;1;Scientific Literature;Eur J Med Chem;2016;None;;
CHEMBL3934564;;None;446.55;0;4.61;7b;COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc4cccc(O)c4n3)CC1)C2;IC50;'=';37400.0;nM;4.43;;;UO_0000065;9.91;0.18;-0.18;6.16;0;CHEMBL3870532;Inhibition of human serum BuChE using s-butyrylthiocholine iodide as substrate preincubated for 5 mins followed by substrate addition measured up to 3 mins by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3870312;1;Scientific Literature;Eur J Med Chem;2016;None;;
CHEMBL502;DONEPEZIL;4.0;379.50;0;4.36;Donepezil;COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2;IC50;'=';3170.0;nM;5.50;;;UO_0000065;14.49;0.27;1.14;14.18;1;CHEMBL3870532;Inhibition of human serum BuChE using s-butyrylthiocholine iodide as substrate preincubated for 5 mins followed by substrate addition measured up to 3 mins by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3870312;1;Scientific Literature;Eur J Med Chem;2016;None;;
CHEMBL311118;;None;232.28;0;0.56;4;CN1CC[C@@]2(C)C3=CC(=O)C(=O)C=C3N(C)C12;IC50;;;nM;;;No detectable activity;UO_0000065;;;;;0;CHEMBL651304;Anticholinesterase activity against plasma Butyrylcholinesterase (BChE) in humans.(no detectable activity at 3*10e-5 M);B;BAO_0000366;cell-free format;None;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1131001;1;Scientific Literature;J Med Chem;1998;None;;
CHEMBL127857;;None;643.82;2;7.00;15d;CN(CCCOc1ccc2c(=O)c3ccccc3oc2c1)Cc1cccc(OC(=O)NCCCCCCCCCN2CCOCC2)c1;IC50;'=';3.3;nM;8.48;;;UO_0000065;13.17;0.25;1.48;9.07;0;CHEMBL651305;In vitro inhibition of human serum Butyrylcholinesterase.;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1134674;1;Scientific Literature;J Med Chem;2001;None;;
CHEMBL176756;;None;281.31;0;2.71;18;COC1=CC2CCC1C1Oc3ccccc3C(=O)[C@]21C#N;IC50;'>';2000.0;nM;;;;UO_0000065;;;;;0;CHEMBL654877;In vitro inhibitory activity against Butyrylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1131669;1;Scientific Literature;Bioorg Med Chem Lett;1999;None;;
CHEMBL2414856;;None;240.27;0;2.24;4Apc;O=C(N/N=C/c1ccccc1)Nc1ccncc1;IC50;'=';845200.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL2415266;Inhibition of human serum BChE using butyrylthiocholine iodide as substrate preincubated for 20 mins prior to substrate addition by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL2413015;1;Scientific Literature;Bioorg Med Chem;2013;None;;
CHEMBL3642043;;None;590.17;2;7.08;BDBM132074;CC(=O)NCCc1c[nH]c2ccc(OC(=O)NCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc12;IC50;'=';0.38;nM;9.42;;264589;UO_0000065;15.96;0.31;2.34;8.71;0;CHEMBL3708022;"Inhibition Assay: The biological activity of the compounds of general formula (I) towards the cholinesterase inhibition was evaluated using Ellman's method (Ellman, G. L.; Courtney, K. D.; Anders, B.; Featherstone, R. M. Biochem. Pharmacol. 1961, 7, 88-95).This method of evaluation of the cholinesterase inhibitors activity is based on the fact that acetyl/butyrylcholinesterase interacts with the inhibitor, which prevents the acetyl/butyrylcholine hydrolysis. The inhibitor causes the enzyme activity drop which is dependent on the inhibitor concentration. The enzyme unbound with the inhibitor is able to hydrolyze acetyl/butyrylthiocholine (ASCh/BSCh). The amount of the hydrolyzed ASCh/BSCh is measured indirectly, by quantification of the product of its reaction with DTNB (5,5Ã¢Â²-dithio-bis-2-nitrobenzoic acid). Ellman's method relies therefore on the spectrophotometric quantification of product of the reaction between acylthiocholine and DTNB.";B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3639238;37;BindingDB Database;;2014;None;;
CHEMBL191386;;None;522.60;2;6.08;9 c;CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(c2)O/C(=C\c2ccc4ccccc4c2)C3=O)c1;IC50;'=';70300.0;nM;4.15;;;UO_0000065;7.95;0.15;-1.93;5.39;0;CHEMBL832431;Inhibition of isolated human BuChE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1140306;1;Scientific Literature;J Med Chem;2005;None;;
CHEMBL74940;;None;514.66;2;7.90;3d;Fc1ccc2c(NCCCCCCNc3c4c(nc5cc(F)ccc35)CCCC4)c3c(nc2c1)CCCC3;IC50;'=';45.0;nM;7.35;;;UO_0000065;14.28;0.26;-0.55;14.74;0;CHEMBL654400;Concentration that causes 50% inhibition of Butyrylcholinesterase (BChE) using human serum and BW284c51;B;BAO_0000366;cell-free format;None;CHEMBL3638229;Serum;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1135422;1;Scientific Literature;J Med Chem;2002;None;;
CHEMBL3632848;;None;545.72;2;6.24;7d;COc1ccc2nc3c(c(NCCCCCNC(=O)C4(C)CCc5c(C)c(O)c(C)c(C)c5O4)c2c1)CCCC3;IC50;'=';400.0;nM;6.40;;;UO_0000065;11.72;0.22;0.16;6.90;0;CHEMBL3635776;Inhibition of human plasmatic BChE using butyrylthiocholine as substrate preincubated for 5 mins followed by substrate addition measured every 2 mins by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3632576;1;Scientific Literature;J Med Chem;2015;None;;
CHEMBL95;TACRINE;4.0;198.27;0;2.70;1;Nc1c2c(nc3ccccc13)CCCC2;IC50;'=';80.0;nM;7.10;;;UO_0000065;35.79;0.65;4.40;18.24;1;CHEMBL3635776;Inhibition of human plasmatic BChE using butyrylthiocholine as substrate preincubated for 5 mins followed by substrate addition measured every 2 mins by Ellman's method;B;BAO_0000357;single protein format;Homo sapiens;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3632576;1;Scientific Literature;J Med Chem;2015;None;;
CHEMBL386541;;None;377.90;0;2.99;(+/-)-6a;CC1=CC2Cc3nc4cc(Cl)ccc4c(N)c3C(C1)C2NS(C)(=O)=O;IC50;'>';10000.0;nM;;;;UO_0000065;;;;;0;CHEMBL911223;Inhibition of human serum BChE;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1137340;1;Scientific Literature;J Med Chem;2006;None;;
CHEMBL3753631;;None;700.50;2;11.72;9;COc1cc(-c2ccc(Nc3nc(-c4cc(Cl)ccc4Cl)cs3)c(OC)c2)ccc1Nc1nc(-c2cc(Cl)ccc2Cl)cs1;IC50;'>';80.0;ug.mL-1;;Outside typical range;;UO_0000274;;;;;0;CHEMBL3755749;Inhibition of BuChE (unknown origin) using butyrylthiocholine iodide as substrate by Ellman spectrophotometric method;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3751820;1;Scientific Literature;Eur J Med Chem;2016;None;;
CHEMBL131210;;None;365.48;0;4.28;9 (3',5'-dimethylphenserine);Cc1cc(C)cc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(C)[C@@H]2N3C)c1;IC50;'=';798.0;nM;6.10;;;UO_0000065;16.68;0.31;1.82;13.61;0;CHEMBL654408;In vitro inhibition of human plasma butyrylcholinesterase.;B;BAO_0000366;cell-free format;None;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1134282;1;Scientific Literature;J Med Chem;2001;None;;
CHEMBL54727;;None;337.42;0;3.67;(-)-phenserine;CN1CC[C@@]2(C)c3cc(OC(=O)Nc4ccccc4)ccc3N(C)C12;IC50;'=';1560.0;nM;5.81;;;UO_0000065;17.21;0.32;2.14;12.96;1;CHEMBL861175;Anticholinesterase activity against human plasma BChE;B;BAO_0000366;cell-free format;Homo sapiens;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1146079;1;Scientific Literature;J Med Chem;2006;None;;
CHEMBL32823;;None;492.71;1;8.02;Bis(7)tacrine;c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)c3c(nc2c1)CCCC3;IC50;'=';38.3;nM;7.42;;;UO_0000065;15.05;0.27;-0.60;14.88;0;CHEMBL3858020;Inhibition of human plasma BuChE using S-butyrylthiocholine iodide as substrate after 30 mins by Ellman's method;B;BAO_0000366;cell-free format;Homo sapiens;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3856224;1;Scientific Literature;Eur J Med Chem;2016;None;;
CHEMBL1669489;;None;472.22;0;3.82;17;C(=C/C[n+]1ccc2ccccc2c1)\C[n+]1ccc2ccccc2c1.[Br-].[Br-];IC50;'=';64000.0;nM;4.19;;;UO_0000065;13.42;0.24;0.37;54.04;0;CHEMBL1671582;Inhibition of human plasmatic BChE by Lineweaver-Burk plot analysis;B;BAO_0000366;cell-free format;Homo sapiens;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1667816;1;Scientific Literature;Eur J Med Chem;2011;None;;
CHEMBL1080813;;None;541.76;2;5.17;1e;CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cccs1;IC50;'=';1800.0;nM;5.75;;;UO_0000065;10.60;0.21;0.57;6.55;0;CHEMBL1105046;Inhibition of human BuChE in serum;B;BAO_0000366;cell-free format;Homo sapiens;CHEMBL3638229;Serum;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1154393;1;Scientific Literature;J Med Chem;2009;None;;
CHEMBL362444;;None;262.31;0;1.86;1 (table 1);CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCOC1N2C;IC50;'=';4.0;nM;8.40;;;UO_0000065;32.02;0.60;6.54;16.53;1;CHEMBL829512;Inhibitory concentration against human plasma Butyrylcholinesterase;B;BAO_0000366;cell-free format;Homo sapiens;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1142685;1;Scientific Literature;J Med Chem;2005;None;;
CHEMBL3907702;;None;708.76;2;7.81;2d;CN1c2ccccc2C(NCCCCCCC(=O)NCCCNc2c3c(nc4cc(Cl)ccc24)CCCC3)c2ccc(Cl)cc2S1(=O)=O;IC50;'=';52.44;nM;7.28;;;UO_0000065;10.27;0.21;-0.53;7.04;0;CHEMBL3858020;Inhibition of human plasma BuChE using S-butyrylthiocholine iodide as substrate after 30 mins by Ellman's method;B;BAO_0000366;cell-free format;Homo sapiens;CHEMBL3559721;Plasma;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL3856224;1;Scientific Literature;Eur J Med Chem;2016;None;;
CHEMBL316973;;None;380.43;0;3.50;4;CN(C)Cc1ccc(CSCCNc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])o1;IC50;'=';1800.0;nM;5.75;;;UO_0000065;15.10;0.30;2.24;5.01;0;CHEMBL654880;In vitro inhibition of human butryl cholinesterase.;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1125532;1;Scientific Literature;J Med Chem;1992;None;;
CHEMBL418714;;None;452.73;1;6.50;16;CN(C)Cc1ccc(CSCCCCCCCCSCc2ccc(CN(C)C)o2)o1;IC50;'=';1900.0;nM;5.72;;;UO_0000065;12.64;0.26;-0.78;17.46;0;CHEMBL856086;The compound was evaluated for the inhibition human of Butyrylcholinesterase;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1125408;1;Scientific Literature;J Med Chem;1992;None;;
CHEMBL338720;;None;338.44;0;3.86;2i;CSc1nc(-c2ccc(-c3ccccc3)cc2)nn1C(=O)N(C)C;IC50;'=';230.0;nM;6.64;;;UO_0000065;19.61;0.38;2.78;13.01;0;CHEMBL654878;Inhibitory concentration against butyrylcholinesterase.;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL1914;Butyrylcholinesterase;Homo sapiens;SINGLE PROTEIN;CHEMBL1148382;1;Scientific Literature;J Med Chem;2004;None;;
