Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;SMILES;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties
CHEMBL2089036;;0;569.11;2;3.38;10;CC(C)[C@H](N)C(=O)OC[C@H](O)CNc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1.Cl;IC50;'=';1100.0;nM;5.96;;;UO_0000065;11.19;0.21;2.58;3.89;0;CHEMBL2089674;Inhibition of human recombinant DYRK1A expressed in Escherichia coli after 30 mins by liquid scintillation counter;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2086256;1;Scientific Literature;Eur. J. Med. Chem.;2012;None;
CHEMBL2295954;;0;432.53;0;4.38;6g;CC(C)C[C@@H](O)Nc1nc(Nc2ccc(-c3cncnc3)cc2)c2ncn(C(C)C)c2n1;IC50;'=';510.0;nM;6.29;;;UO_0000065;14.55;0.27;1.91;5.54;0;CHEMBL3072655;Inhibition of Homo sapiens (human) recombinant GST-tagged DYRK1A expressed in Escherichia coli using KKISGRLSPIMTEQ and [gamma33P]ATP as substrate after 30 min by scintillation counting;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3045291;1;Scientific Literature;Med Chem Res;2013;None;
CHEMBL2295939;;0;418.51;0;3.99;7e;CC(C)C(O)Nc1nc(Nc2cccc(-c3ncccn3)c2)c2ncn(C(C)C)c2n1;IC50;'=';4700.0;nM;5.33;;;UO_0000065;12.73;0.23;1.34;4.69;0;CHEMBL3072655;Inhibition of Homo sapiens (human) recombinant GST-tagged DYRK1A expressed in Escherichia coli using KKISGRLSPIMTEQ and [gamma33P]ATP as substrate after 30 min by scintillation counting;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3045291;1;Scientific Literature;Med Chem Res;2013;None;
CHEMBL2392361;;0;325.80;0;4.42;12;COc1cccc(-c2ccnc(NCc3ccc(Cl)cc3)n2)c1;IC50;'=';6361.0;nM;5.20;;;UO_0000065;15.95;0.31;0.78;11.05;0;CHEMBL2394340;Inhibition of DYRK1A (unknown origin);B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2390846;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL1899256;;0;463.13;1;5.01;16;Brc1ccc(CNc2nccc(-c3ccc4c(c3)OCO4)n2)cc1Br;IC50;'=';820.0;nM;6.09;;;UO_0000065;13.14;0.33;1.08;10.82;0;CHEMBL2394346;Inhibition of DYRK1A (unknown origin) by bioluminescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2390846;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL2386761;;0;365.42;0;3.96;45;COC(=N)c1nc2ccc3ncnc(Nc4ccc(OC)cc4)c3c2s1;IC50;'=';13.08;nM;7.88;;;UO_0000065;21.57;0.41;3.92;8.48;1;CHEMBL2388921;Inhibition of recombinant DYRK1A (unknown origin) after 120 mins in presence of [33P]-ATP;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2384972;1;Scientific Literature;ACS Med. Chem. Lett.;2013;None;
CHEMBL2392368;;0;438.20;1;5.40;26;FC(F)(F)c1cc(Br)cc(Nc2nccc(-c3ccc4c(c3)OCO4)n2)c1;IC50;'=';520.0;nM;6.28;;;UO_0000065;14.34;0.32;0.88;11.17;0;CHEMBL2394346;Inhibition of DYRK1A (unknown origin) by bioluminescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2390846;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL2392229;;0;339.78;0;4.14;37;Clc1ccc(CNc2cc(-c3ccc4c(c3)OCO4)ncn2)cc1;IC50;'=';9230.0;nM;5.04;;;UO_0000065;14.82;0.29;0.89;8.95;0;CHEMBL2394346;Inhibition of DYRK1A (unknown origin) by bioluminescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2390846;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL3589660;;0;296.71;0;4.22;5h;O=C(O)c1nc2ccccc2c2[nH]c3c(Cl)cccc3c12;IC50;'=';31.0;nM;7.51;;;UO_0000065;25.31;0.49;3.29;11.38;0;CHEMBL3591177;Inhibition of human recombinant DYRK1A expressed in Escherichia coli using RS peptide as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3588821;1;Scientific Literature;J. Med. Chem.;2015;None;
CHEMBL3589665;;0;326.74;0;4.23;5m;COc1ccc2c(c1)nc(C(=O)O)c1c3cccc(Cl)c3[nH]c21;IC50;'=';23.0;nM;7.64;;;UO_0000065;23.38;0.45;3.41;10.16;0;CHEMBL3591177;Inhibition of human recombinant DYRK1A expressed in Escherichia coli using RS peptide as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3588821;1;Scientific Literature;J. Med. Chem.;2015;None;
CHEMBL3589667;;0;418.19;0;4.18;5o;COc1ccc2c(c1)nc(C(=O)O)c1c3cccc(I)c3[nH]c21;IC50;'=';22.0;nM;7.66;;;UO_0000065;18.31;0.45;3.48;10.18;0;CHEMBL3591177;Inhibition of human recombinant DYRK1A expressed in Escherichia coli using RS peptide as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3588821;1;Scientific Literature;J. Med. Chem.;2015;None;
CHEMBL3094462;;0;541.40;1;3.71;23;COc1ncc2cc(C(=O)Nc3cc(C(=O)NC(CCN)c4cccc(Cl)c4)ccc3Cl)c(=O)[nH]c2n1;IC50;'=';12.0;nM;7.92;;;UO_0000065;14.63;0.29;4.21;5.21;0;CHEMBL3097668;Inhibition of DYRK1A (unknown origin);B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3091386;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL2314448;;0;342.41;0;2.12;4l;CC[C@@H](CO)Nc1nc(Nc2cncnc2)c2ncn(C(C)C)c2n1;IC50;'=';270.0;nM;6.57;;;UO_0000065;19.18;0.36;4.45;5.78;0;CHEMBL2320633;Inhibition of recombinant GST-fused human DYRK1A expressed in Escherichia coli using KKISGRLSPIMTEQ as substrate;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2311464;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL2392246;;0;292.34;0;3.16;F5;COc1ccc(CNc2ccnc(-c3cccnc3)n2)cc1;IC50;'=';32800.0;nM;4.48;;;UO_0000065;15.34;0.28;1.32;7.48;0;CHEMBL2394346;Inhibition of DYRK1A (unknown origin) by bioluminescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2390846;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL2392233;;0;340.77;0;3.53;SI-2;Clc1ccc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)cn1;IC50;'=';29200.0;nM;4.54;;;UO_0000065;13.31;0.26;1.00;6.56;0;CHEMBL2394346;Inhibition of DYRK1A (unknown origin) by bioluminescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2390846;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL2392241;;0;306.32;0;2.88;SI-10;c1cc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)ccn1;IC50;'=';26000.0;nM;4.58;;;UO_0000065;14.97;0.27;1.71;6.63;0;CHEMBL2394346;Inhibition of DYRK1A (unknown origin) by bioluminescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2390846;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL2392237;;0;385.22;0;3.64;SI-6;Brc1cncc(CNc2ccnc(-c3ccc4c(c3)OCO4)n2)c1;IC50;'=';26000.0;nM;4.58;;;UO_0000065;11.90;0.26;0.95;6.63;0;CHEMBL2394346;Inhibition of DYRK1A (unknown origin) by bioluminescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2390846;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL359554;;0;288.31;0;2.93;6a;c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1;IC50;'=';38.0;nM;7.42;;;UO_0000065;25.74;0.46;4.49;10.91;0;CHEMBL4622607;Inhibition of recombinant human N-terminal Hex-tagged DYRK1A (127 to 485 residues) expressed in Escherichia coli BL21 (DE3) incubated for 1.5 hrs by TR-FRET assay;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4619818;1;Scientific Literature;ACS Med Chem Lett;2020;None;
CHEMBL4530280;;0;344.16;0;4.31;Entry 5, cpd-2;N#Cc1c(-c2ccccc2)[nH]c2c(I)cccc12;IC50;'=';10.0;nM;8.00;;;UO_0000065;23.25;0.61;3.69;20.21;0;CHEMBL4381019;Inhibition of GST-tagged human recombinant DYRK1A expressed in Escherichia coli using GRSRSRSRSRSR peptide substrate in presence of [gamma-33P]-ATP incubated for 30 mins by scintillation counting method;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL4376879;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL1762116;;0;282.25;0;2.27;C1;O=C1C(c2ccc(O)cc2O)=CC(=O)c2c(O)cccc21;IC50;'=';21000.0;nM;4.68;;;UO_0000065;16.57;0.30;2.41;4.93;0;CHEMBL1763106;Inhibition of DYRK1a;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1759841;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;None;
CHEMBL1762119;;0;314.25;0;1.68;C14;O=C1C=C(c2ccc(O)c(O)c2O)C(=O)c2c(O)ccc(O)c21;IC50;'=';21400.0;nM;4.67;;;UO_0000065;14.86;0.28;2.99;3.45;0;CHEMBL1763106;Inhibition of DYRK1a;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1759841;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2011;None;
CHEMBL3775754;;0;261.33;0;1.64;18;O=C1NC(=S)N/C1=C\c1ccc2ncsc2c1;IC50;'=';700.0;nM;6.16;;;UO_0000065;23.55;0.49;4.51;11.39;0;CHEMBL3778243;Inhibition of recombinant human N-terminal His6-tagged DYRK1A catalytic domain expressed in Escherichia coli BL21(DE3) cells using KKISGRLSPIMTEQ-NH2 as substrate incubated for 15 mins in presence of [gamma-32P]ATP;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3774321;1;Scientific Literature;Eur. J. Med. Chem.;2016;None;
CHEMBL3775949;;0;251.33;0;2.18;14;COc1ccc(/C=C2/SC(=S)NC2=O)cc1;IC50;'=';250.0;nM;6.60;;;UO_0000065;26.27;0.56;4.42;17.22;0;CHEMBL3778243;Inhibition of recombinant human N-terminal His6-tagged DYRK1A catalytic domain expressed in Escherichia coli BL21(DE3) cells using KKISGRLSPIMTEQ-NH2 as substrate incubated for 15 mins in presence of [gamma-32P]ATP;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3774321;1;Scientific Literature;Eur. J. Med. Chem.;2016;None;
CHEMBL3775111;;0;230.26;0;2.34;6;CC1C/C(=C\c2ccc3c(c2)CCO3)C(=O)O1;IC50;'=';2100.0;nM;5.68;;;UO_0000065;24.66;0.46;3.34;15.98;0;CHEMBL3776531;Inhibition of tetracycline-inducible EGFP-DYRK1A (unknown origin) expressed in HEK293 cells coexpressing full length human EGFP-tau protein assessed as reduction in tau-Thr212 phosphorylation incubated overnight by immunofluorescence assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;HEK293;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3774321;1;Scientific Literature;Eur. J. Med. Chem.;2016;CHEMBL3307715;
CHEMBL3774704;;0;231.28;0;2.63;7;O=C1OCC/C1=C\c1ccc2ncsc2c1;IC50;'=';200.0;nM;6.70;;;UO_0000065;28.96;0.57;4.07;17.09;0;CHEMBL3776531;Inhibition of tetracycline-inducible EGFP-DYRK1A (unknown origin) expressed in HEK293 cells coexpressing full length human EGFP-tau protein assessed as reduction in tau-Thr212 phosphorylation incubated overnight by immunofluorescence assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;HEK293;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3774321;1;Scientific Literature;Eur. J. Med. Chem.;2016;CHEMBL3307715;
CHEMBL269538;HARMINE;0;212.25;0;3.03;Hrm;COc1ccc2c(c1)[nH]c1c(C)nccc12;IC50;'=';400.0;nM;6.40;;;UO_0000065;30.14;0.55;3.37;16.88;0;CHEMBL3776531;Inhibition of tetracycline-inducible EGFP-DYRK1A (unknown origin) expressed in HEK293 cells coexpressing full length human EGFP-tau protein assessed as reduction in tau-Thr212 phosphorylation incubated overnight by immunofluorescence assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;HEK293;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3774321;1;Scientific Literature;Eur. J. Med. Chem.;2016;CHEMBL3307715;
CHEMBL3884015;;0;244.26;0;3.14;17h;N#Cc1cc2cnccc2c2[nH]c3ncccc3c12;IC50;'=';440.0;nM;6.36;;;UO_0000065;26.02;0.46;3.22;9.73;0;CHEMBL3875856;Inhibition of GST-tagged human recombinant DYRK1A expressed in Escherichia coli using RS peptide as substrate incubated for 30 mins in presence of [gamma-33 P] ATP by liquid scintillation counting analysis;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3875174;1;Scientific Literature;Eur J Med Chem;2016;None;
CHEMBL2295951;;0;365.83;0;4.26;4b;CC(C)n1cnc2c(Nc3ccc(-c4cncnc4)cc3)nc(Cl)nc21;IC50;'=';3200.0;nM;5.50;;;UO_0000065;15.02;0.29;1.23;6.75;0;CHEMBL3072655;Inhibition of Homo sapiens (human) recombinant GST-tagged DYRK1A expressed in Escherichia coli using KKISGRLSPIMTEQ and [gamma33P]ATP as substrate after 30 min by scintillation counting;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL3045291;1;Scientific Literature;Med Chem Res;2013;None;
CHEMBL512149;;0;402.06;0;4.76;15;O=C1NN(c2ccc(Cl)c(Cl)c2)C(=O)/C1=C/c1cccc(Cl)c1Cl;IC50;'=';15000.0;nM;4.82;;;UO_0000065;12.00;0.27;0.06;9.76;0;CHEMBL954298;Inhibition of Dyrk1 autophosphorylation;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1153959;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2009;None;
CHEMBL445813;AT-7519;2;382.25;0;2.45;AT-7519;O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl;Kd;'=';120.0;nM;6.92;;;UO_0000065;18.11;0.38;4.47;7.00;0;CHEMBL1908409;Binding constant for DYRK1A kinase domain;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL1908390;1;Scientific Literature;Nat. Biotechnol.;2011;None;
CHEMBL1872011;;0;302.34;0;3.03;30;c1cncc(CNc2ccnc(-c3ccc4cn[nH]c4c3)n2)c1;IC50;'=';2070.0;nM;5.68;;;UO_0000065;18.80;0.34;2.65;7.16;0;CHEMBL2394346;Inhibition of DYRK1A (unknown origin) by bioluminescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2390846;1;Scientific Literature;Bioorg. Med. Chem. Lett.;2013;None;
CHEMBL2089035;;0;447.54;0;3.24;8d;CC(C)n1cnc2c(NCc3ccc(-c4ccccn4)cc3)nc(NCC[C@H](O)CO)nc21;IC50;'=';790.0;nM;6.10;;;UO_0000065;13.64;0.25;2.86;5.04;0;CHEMBL2089674;Inhibition of human recombinant DYRK1A expressed in Escherichia coli after 30 mins by liquid scintillation counter;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2086256;1;Scientific Literature;Eur. J. Med. Chem.;2012;None;
CHEMBL2164709;;0;378.48;1;6.13;4a;Cc1nccc2c3ccc(OCc4ccccc4)cc3n(Cc3ccccc3)c12;IC50;'=';16000.0;nM;4.80;;;UO_0000065;12.67;0.23;-1.33;17.73;0;CHEMBL2166479;Inhibition of DYRK1A kinase using RBER-CHKtide substrate by radiometric protein kinase assay;B;BAO_0000357;single protein format;None;None;None;None;None;;;;CHEMBL2292;Dual-specificity tyrosine-phosphorylation regulated kinase 1A;Homo sapiens;SINGLE PROTEIN;CHEMBL2163222;1;Scientific Literature;J. Med. Chem.;2012;None;
